sRGBA,r,g,b,a
1,178,178,178,255
2,158,158,158,255
3,178,178,178,255
4,158,158,158,255
5,178,178,178,255
6,158,158,158,255
7,178,178,178,255
8,178,178,178,255
9,178,178,178,255
10,178,178,178,255
11,178,178,178,255
12,178,178,178,255
13,178,178,178,255
14,178,178,178,255
15,178,178,178,255
16,178,178,178,255
17,178,178,178,255
18,178,178,178,255
19,178,178,178,255
20,178,178,178,255
21,178,178,178,255
22,178,178,178,255
23,178,178,178,255
24,178,178,178,255
25,178,178,178,255
26,178,178,178,255
27,178,178,178,255
28,178,178,178,255
29,178,178,178,255
30,178,178,178,255
31,178,178,178,255
32,178,178,178,255
