sRGBA,r,g,b,a
1,223,223,223,255
2,209,209,209,255
3,223,223,223,255
4,209,209,209,255
5,223,223,223,255
6,209,209,209,255
7,223,223,223,255
8,223,223,223,255
9,223,223,223,255
10,223,223,223,255
11,223,223,223,255
12,223,223,223,255
13,223,223,223,255
14,223,223,223,255
15,223,223,223,255
16,223,223,223,255
17,223,223,223,255
18,223,223,223,255
19,223,223,223,255
20,223,223,223,255
21,223,223,223,255
22,223,223,223,255
23,223,223,223,255
24,223,223,223,255
25,223,223,223,255
26,223,223,223,255
27,223,223,223,255
28,223,223,223,255
29,223,223,223,255
30,223,223,223,255
31,223,223,223,255
32,223,223,223,255
