sRGBA,r,g,b,a
1,210,210,210,255
2,194,194,194,255
3,210,210,210,255
4,194,194,194,255
5,210,210,210,255
6,194,194,194,255
7,210,210,210,255
8,210,210,210,255
9,210,210,210,255
10,210,210,210,255
11,210,210,210,255
12,210,210,210,255
13,210,210,210,255
14,210,210,210,255
15,210,210,210,255
16,210,210,210,255
17,210,210,210,255
18,210,210,210,255
19,210,210,210,255
20,210,210,210,255
21,210,210,210,255
22,210,210,210,255
23,210,210,210,255
24,210,210,210,255
25,210,210,210,255
26,210,210,210,255
27,210,210,210,255
28,210,210,210,255
29,210,210,210,255
30,210,210,210,255
31,210,210,210,255
32,210,210,210,255
