sRGBA,r,g,b,a
1,159,159,159,255
2,136,136,136,255
3,159,159,159,255
4,136,136,136,255
5,159,159,159,255
6,136,136,136,255
7,159,159,159,255
8,159,159,159,255
9,159,159,159,255
10,159,159,159,255
11,159,159,159,255
12,159,159,159,255
13,159,159,159,255
14,159,159,159,255
15,159,159,159,255
16,159,159,159,255
17,159,159,159,255
18,159,159,159,255
19,159,159,159,255
20,159,159,159,255
21,159,159,159,255
22,159,159,159,255
23,159,159,159,255
24,159,159,159,255
25,159,159,159,255
26,159,159,159,255
27,159,159,159,255
28,159,159,159,255
29,159,159,159,255
30,159,159,159,255
31,159,159,159,255
32,159,159,159,255
