sRGBA,r,g,b,a,Y
0,194,194,194,255,0.539479
1,210,210,210,255,0.64448
2,210,210,210,255,0.64448
3,210,210,210,255,0.64448
4,210,210,210,255,0.64448
5,210,210,210,255,0.64448
6,210,210,210,255,0.64448
7,210,210,210,255,0.64448
8,210,210,210,255,0.64448
9,210,210,210,255,0.64448
10,210,210,210,255,0.64448
11,194,194,194,255,0.539479
12,194,194,194,255,0.539479
13,194,194,194,255,0.539479
14,194,194,194,255,0.539479
15,194,194,194,255,0.539479
16,194,194,194,255,0.539479
17,194,194,194,255,0.539479
18,194,194,194,255,0.539479
19,194,194,194,255,0.539479
20,194,194,194,255,0.539479
21,210,210,210,255,0.64448
22,210,210,210,255,0.64448
23,210,210,210,255,0.64448
24,210,210,210,255,0.64448
25,210,210,210,255,0.64448
26,210,210,210,255,0.64448
27,210,210,210,255,0.64448
28,210,210,210,255,0.64448
29,210,210,210,255,0.64448
30,210,210,210,255,0.64448
31,194,194,194,255,0.539479
32,194,194,194,255,0.539479
33,194,194,194,255,0.539479
