sRGBA,r,g,b,a,Y
0,194,194,194,255,0.539479
1,224,224,224,255,0.745404
2,224,224,224,255,0.745404
3,224,224,224,255,0.745404
4,224,224,224,255,0.745404
5,224,224,224,255,0.745404
6,210,210,210,255,0.64448
7,210,210,210,255,0.64448
8,210,210,210,255,0.64448
9,210,210,210,255,0.64448
10,210,210,210,255,0.64448
11,194,194,194,255,0.539479
12,194,194,194,255,0.539479
13,194,194,194,255,0.539479
14,194,194,194,255,0.539479
15,194,194,194,255,0.539479
16,194,194,194,255,0.539479
17,194,194,194,255,0.539479
18,194,194,194,255,0.539479
19,194,194,194,255,0.539479
20,194,194,194,255,0.539479
21,209,209,209,255,0.637597
22,209,209,209,255,0.637597
23,209,209,209,255,0.637597
24,209,209,209,255,0.637597
25,222,222,222,255,0.730461
26,222,222,222,255,0.730461
27,222,222,222,255,0.730461
28,222,222,222,255,0.730461
29,222,222,222,255,0.730461
30,194,194,194,255,0.539479
31,194,194,194,255,0.539479
32,194,194,194,255,0.539479
33,194,194,194,255,0.539479
