sRGBA,r,g,b,a,Y
0,108,108,108,255,0.14996
1,138,138,138,255,0.254152
2,138,138,138,255,0.254152
3,138,138,138,255,0.254152
4,138,138,138,255,0.254152
5,108,108,108,255,0.14996
6,108,108,108,255,0.14996
7,108,108,108,255,0.14996
8,108,108,108,255,0.14996
9,108,108,108,255,0.14996
10,108,108,108,255,0.14996
11,108,108,108,255,0.14996
12,108,108,108,255,0.14996
13,108,108,108,255,0.14996
14,108,108,108,255,0.14996
15,108,108,108,255,0.14996
16,108,108,108,255,0.14996
17,108,108,108,255,0.14996
18,108,108,108,255,0.14996
19,108,108,108,255,0.14996
20,108,108,108,255,0.14996
21,108,108,108,255,0.14996
22,108,108,108,255,0.14996
23,108,108,108,255,0.14996
24,108,108,108,255,0.14996
25,108,108,108,255,0.14996
26,138,138,138,255,0.254152
27,138,138,138,255,0.254152
28,138,138,138,255,0.254152
29,138,138,138,255,0.254152
30,108,108,108,255,0.14996
31,108,108,108,255,0.14996
32,108,108,108,255,0.14996
33,108,108,108,255,0.14996
