sRGBA,r,g,b,a,Y
0,194,194,194,255,0.539479
1,224,224,224,255,0.745404
2,224,224,224,255,0.745404
3,224,224,224,255,0.745404
4,224,224,224,255,0.745404
5,224,224,224,255,0.745404
6,210,210,210,255,0.64448
7,210,210,210,255,0.64448
8,210,210,210,255,0.64448
9,210,210,210,255,0.64448
10,210,210,210,255,0.64448
11,194,194,194,255,0.539479
12,194,194,194,255,0.539479
13,194,194,194,255,0.539479
14,194,194,194,255,0.539479
15,194,194,194,255,0.539479
16,194,194,194,255,0.539479
17,194,194,194,255,0.539479
18,194,194,194,255,0.539479
19,194,194,194,255,0.539479
20,194,194,194,255,0.539479
21,210,210,210,255,0.64448
22,210,210,210,255,0.64448
23,210,210,210,255,0.64448
24,210,210,210,255,0.64448
25,224,224,224,255,0.745404
26,224,224,224,255,0.745404
27,224,224,224,255,0.745404
28,224,224,224,255,0.745404
29,224,224,224,255,0.745404
30,224,224,224,255,0.745404
31,194,194,194,255,0.539479
32,194,194,194,255,0.539479
33,194,194,194,255,0.539479
