sRGBA,r,g,b,a,Y
0,194,194,194,255,0.539479
1,194,194,194,255,0.539479
2,194,194,194,255,0.539479
3,194,194,194,255,0.539479
4,194,194,194,255,0.539479
5,194,194,194,255,0.539479
6,194,194,194,255,0.539479
7,194,194,194,255,0.539479
8,194,194,194,255,0.539479
9,194,194,194,255,0.539479
10,194,194,194,255,0.539479
11,194,194,194,255,0.539479
12,194,194,194,255,0.539479
13,194,194,194,255,0.539479
14,194,194,194,255,0.539479
15,210,210,210,255,0.64448
16,210,210,210,255,0.64448
17,210,210,210,255,0.64448
18,210,210,210,255,0.64448
19,210,210,210,255,0.64448
20,210,210,210,255,0.64448
21,210,210,210,255,0.64448
22,210,210,210,255,0.64448
23,210,210,210,255,0.64448
24,210,210,210,255,0.64448
25,210,210,210,255,0.64448
26,210,210,210,255,0.64448
27,210,210,210,255,0.64448
28,210,210,210,255,0.64448
29,210,210,210,255,0.64448
30,194,194,194,255,0.539479
31,194,194,194,255,0.539479
32,194,194,194,255,0.539479
33,194,194,194,255,0.539479
