sRGBA,r,g,b,a,Y
0,158,158,158,255,0.341914
1,177,177,177,255,0.439657
2,177,177,177,255,0.439657
3,177,177,177,255,0.439657
4,177,177,177,255,0.439657
5,177,177,177,255,0.439657
6,178,178,178,255,0.445201
7,178,178,178,255,0.445201
8,178,178,178,255,0.445201
9,178,178,178,255,0.445201
10,178,178,178,255,0.445201
11,158,158,158,255,0.341914
12,158,158,158,255,0.341914
13,158,158,158,255,0.341914
14,158,158,158,255,0.341914
15,158,158,158,255,0.341914
16,158,158,158,255,0.341914
17,158,158,158,255,0.341914
18,158,158,158,255,0.341914
19,158,158,158,255,0.341914
20,158,158,158,255,0.341914
21,178,178,178,255,0.445201
22,178,178,178,255,0.445201
23,178,178,178,255,0.445201
24,178,178,178,255,0.445201
25,178,178,178,255,0.445201
26,178,178,178,255,0.445201
27,178,178,178,255,0.445201
28,178,178,178,255,0.445201
29,178,178,178,255,0.445201
30,158,158,158,255,0.341914
31,158,158,158,255,0.341914
32,158,158,158,255,0.341914
33,158,158,158,255,0.341914
