sRGBA,r,g,b,a,Y
0,158,158,158,0,n/a
1,158,158,158,0,n/a
2,158,158,158,0,n/a
3,158,158,158,0,n/a
4,158,158,158,0,n/a
5,158,158,158,0,n/a
6,158,158,158,0,n/a
7,158,158,158,0,n/a
8,158,158,158,0,n/a
9,158,158,158,0,n/a
10,158,158,158,0,n/a
11,158,158,158,0,n/a
12,158,158,158,0,n/a
13,158,158,158,0,n/a
14,158,158,158,0,n/a
15,178,178,178,255,0.445201
16,178,178,178,255,0.445201
17,178,178,178,255,0.445201
18,178,178,178,255,0.445201
19,178,178,178,255,0.445201
20,178,178,178,255,0.445201
21,178,178,178,255,0.445201
22,178,178,178,255,0.445201
23,178,178,178,255,0.445201
24,178,178,178,255,0.445201
25,178,178,178,255,0.445201
26,178,178,178,255,0.445201
27,178,178,178,255,0.445201
28,178,178,178,255,0.445201
29,178,178,178,255,0.445201
30,158,158,158,0,n/a
31,158,158,158,0,n/a
32,158,158,158,0,n/a
33,158,158,158,0,n/a
