sRGBA,r,g,b,a,Y
0,177,177,177,255,0.439657
1,211,211,211,255,0.651406
2,211,211,211,255,0.651406
3,211,211,211,255,0.651406
4,211,211,211,255,0.651406
5,211,211,211,255,0.651406
6,195,195,195,255,0.545724
7,195,195,195,255,0.545724
8,195,195,195,255,0.545724
9,195,195,195,255,0.545724
10,195,195,195,255,0.545724
11,177,177,177,255,0.439657
12,177,177,177,255,0.439657
13,177,177,177,255,0.439657
14,177,177,177,255,0.439657
15,177,177,177,255,0.439657
16,177,177,177,255,0.439657
17,177,177,177,255,0.439657
18,177,177,177,255,0.439657
19,177,177,177,255,0.439657
20,177,177,177,255,0.439657
21,194,194,194,255,0.539479
22,194,194,194,255,0.539479
23,194,194,194,255,0.539479
24,194,194,194,255,0.539479
25,209,209,209,255,0.637597
26,209,209,209,255,0.637597
27,209,209,209,255,0.637597
28,209,209,209,255,0.637597
29,209,209,209,255,0.637597
30,177,177,177,255,0.439657
31,177,177,177,255,0.439657
32,177,177,177,255,0.439657
33,177,177,177,255,0.439657
