sRGBA,r,g,b,a,Y
0,222,222,222,255,0.730461
1,248,248,248,255,0.938686
2,248,248,248,255,0.938686
3,248,248,248,255,0.938686
4,248,248,248,255,0.938686
5,248,248,248,255,0.938686
6,235,235,235,255,0.83077
7,235,235,235,255,0.83077
8,235,235,235,255,0.83077
9,235,235,235,255,0.83077
10,235,235,235,255,0.83077
11,222,222,222,255,0.730461
12,222,222,222,255,0.730461
13,222,222,222,255,0.730461
14,222,222,222,255,0.730461
15,222,222,222,255,0.730461
16,222,222,222,255,0.730461
17,222,222,222,255,0.730461
18,222,222,222,255,0.730461
19,222,222,222,255,0.730461
20,222,222,222,255,0.730461
21,235,235,235,255,0.83077
22,235,235,235,255,0.83077
23,235,235,235,255,0.83077
24,235,235,235,255,0.83077
25,248,248,248,255,0.938686
26,248,248,248,255,0.938686
27,248,248,248,255,0.938686
28,248,248,248,255,0.938686
29,248,248,248,255,0.938686
30,222,222,222,255,0.730461
31,222,222,222,255,0.730461
32,222,222,222,255,0.730461
33,222,222,222,255,0.730461
