sRGBA,r,g,b,a,Y
0,64,64,64,255,0.051269
1,139,139,139,255,0.258183
2,139,139,139,255,0.258183
3,139,139,139,255,0.258183
4,139,139,139,255,0.258183
5,139,139,139,255,0.258183
6,109,109,109,255,0.152926
7,109,109,109,255,0.152926
8,109,109,109,255,0.152926
9,109,109,109,255,0.152926
10,109,109,109,255,0.152926
11,64,64,64,255,0.051269
12,64,64,64,255,0.051269
13,64,64,64,255,0.051269
14,64,64,64,255,0.051269
15,64,64,64,255,0.051269
16,64,64,64,255,0.051269
17,64,64,64,255,0.051269
18,64,64,64,255,0.051269
19,64,64,64,255,0.051269
20,64,64,64,255,0.051269
21,108,108,108,255,0.14996
22,108,108,108,255,0.14996
23,108,108,108,255,0.14996
24,108,108,108,255,0.14996
25,136,136,136,255,0.246201
26,136,136,136,255,0.246201
27,136,136,136,255,0.246201
28,136,136,136,255,0.246201
29,136,136,136,255,0.246201
30,64,64,64,255,0.051269
31,64,64,64,255,0.051269
32,64,64,64,255,0.051269
33,64,64,64,255,0.051269
