sRGBA,r,g,b,a,Y
0,177,177,177,255,0.439657
1,195,195,195,255,0.545724
2,195,195,195,255,0.545724
3,195,195,195,255,0.545724
4,195,195,195,255,0.545724
5,177,177,177,255,0.439657
6,177,177,177,255,0.439657
7,177,177,177,255,0.439657
8,177,177,177,255,0.439657
9,177,177,177,255,0.439657
10,177,177,177,255,0.439657
11,177,177,177,255,0.439657
12,177,177,177,255,0.439657
13,177,177,177,255,0.439657
14,177,177,177,255,0.439657
15,177,177,177,255,0.439657
16,177,177,177,255,0.439657
17,177,177,177,255,0.439657
18,177,177,177,255,0.439657
19,177,177,177,255,0.439657
20,177,177,177,255,0.439657
21,177,177,177,255,0.439657
22,177,177,177,255,0.439657
23,177,177,177,255,0.439657
24,177,177,177,255,0.439657
25,177,177,177,255,0.439657
26,195,195,195,255,0.545724
27,195,195,195,255,0.545724
28,195,195,195,255,0.545724
29,195,195,195,255,0.545724
30,177,177,177,255,0.439657
31,177,177,177,255,0.439657
32,177,177,177,255,0.439657
33,177,177,177,255,0.439657
