sRGBA,r,g,b,a,Y
0,231,231,231,255,0.799103
1,255,255,255,255,1.0
2,255,255,255,255,1.0
3,255,255,255,255,1.0
4,255,255,255,255,1.0
5,255,255,255,255,1.0
6,244,244,244,255,0.904661
7,244,244,244,255,0.904661
8,244,244,244,255,0.904661
9,244,244,244,255,0.904661
10,244,244,244,255,0.904661
11,231,231,231,255,0.799103
12,231,231,231,255,0.799103
13,231,231,231,255,0.799103
14,231,231,231,255,0.799103
15,231,231,231,255,0.799103
16,231,231,231,255,0.799103
17,231,231,231,255,0.799103
18,231,231,231,255,0.799103
19,231,231,231,255,0.799103
20,231,231,231,255,0.799103
21,244,244,244,255,0.904661
22,244,244,244,255,0.904661
23,244,244,244,255,0.904661
24,244,244,244,255,0.904661
25,255,255,255,255,1.0
26,255,255,255,255,1.0
27,255,255,255,255,1.0
28,255,255,255,255,1.0
29,255,255,255,255,1.0
30,231,231,231,255,0.799103
31,231,231,231,255,0.799103
32,231,231,231,255,0.799103
33,231,231,231,255,0.799103
