sRGBA,r,g,b,a,Y
0,231,231,231,255,0.799103
1,231,231,231,255,0.799103
2,231,231,231,255,0.799103
3,231,231,231,255,0.799103
4,231,231,231,255,0.799103
5,231,231,231,255,0.799103
6,231,231,231,255,0.799103
7,231,231,231,255,0.799103
8,231,231,231,255,0.799103
9,231,231,231,255,0.799103
10,231,231,231,255,0.799103
11,231,231,231,255,0.799103
12,231,231,231,255,0.799103
13,231,231,231,255,0.799103
14,231,231,231,255,0.799103
15,244,244,244,255,0.904661
16,244,244,244,255,0.904661
17,244,244,244,255,0.904661
18,244,244,244,255,0.904661
19,244,244,244,255,0.904661
20,244,244,244,255,0.904661
21,244,244,244,255,0.904661
22,244,244,244,255,0.904661
23,244,244,244,255,0.904661
24,244,244,244,255,0.904661
25,244,244,244,255,0.904661
26,244,244,244,255,0.904661
27,244,244,244,255,0.904661
28,244,244,244,255,0.904661
29,244,244,244,255,0.904661
30,231,231,231,255,0.799103
31,231,231,231,255,0.799103
32,231,231,231,255,0.799103
33,231,231,231,255,0.799103
