sRGBA,r,g,b,a,Y
0,136,136,136,255,0.246201
1,159,159,159,255,0.346704
2,159,159,159,255,0.346704
3,159,159,159,255,0.346704
4,159,159,159,255,0.346704
5,136,136,136,255,0.246201
6,136,136,136,255,0.246201
7,136,136,136,255,0.246201
8,136,136,136,255,0.246201
9,136,136,136,255,0.246201
10,136,136,136,255,0.246201
11,136,136,136,255,0.246201
12,136,136,136,255,0.246201
13,136,136,136,255,0.246201
14,136,136,136,255,0.246201
15,136,136,136,255,0.246201
16,136,136,136,255,0.246201
17,136,136,136,255,0.246201
18,136,136,136,255,0.246201
19,136,136,136,255,0.246201
20,136,136,136,255,0.246201
21,136,136,136,255,0.246201
22,136,136,136,255,0.246201
23,136,136,136,255,0.246201
24,136,136,136,255,0.246201
25,136,136,136,255,0.246201
26,159,159,159,255,0.346704
27,159,159,159,255,0.346704
28,159,159,159,255,0.346704
29,159,159,159,255,0.346704
30,136,136,136,255,0.246201
31,136,136,136,255,0.246201
32,136,136,136,255,0.246201
33,136,136,136,255,0.246201
