sRGBA,r,g,b,a,Y
0,158,158,158,255,0.341914
1,196,196,196,255,0.552011
2,196,196,196,255,0.552011
3,196,196,196,255,0.552011
4,196,196,196,255,0.552011
5,196,196,196,255,0.552011
6,178,178,178,255,0.445201
7,178,178,178,255,0.445201
8,178,178,178,255,0.445201
9,178,178,178,255,0.445201
10,178,178,178,255,0.445201
11,158,158,158,255,0.341914
12,158,158,158,255,0.341914
13,158,158,158,255,0.341914
14,158,158,158,255,0.341914
15,158,158,158,255,0.341914
16,158,158,158,255,0.341914
17,158,158,158,255,0.341914
18,158,158,158,255,0.341914
19,158,158,158,255,0.341914
20,158,158,158,255,0.341914
21,177,177,177,255,0.439657
22,177,177,177,255,0.439657
23,177,177,177,255,0.439657
24,177,177,177,255,0.439657
25,194,194,194,255,0.539479
26,194,194,194,255,0.539479
27,194,194,194,255,0.539479
28,194,194,194,255,0.539479
29,194,194,194,255,0.539479
30,158,158,158,255,0.341914
31,158,158,158,255,0.341914
32,158,158,158,255,0.341914
33,158,158,158,255,0.341914
