sRGBA,r,g,b,a,Y
0,231,231,231,255,0.799103
1,244,244,244,255,0.904661
2,244,244,244,255,0.904661
3,244,244,244,255,0.904661
4,244,244,244,255,0.904661
5,231,231,231,255,0.799103
6,231,231,231,255,0.799103
7,231,231,231,255,0.799103
8,231,231,231,255,0.799103
9,231,231,231,255,0.799103
10,231,231,231,255,0.799103
11,231,231,231,255,0.799103
12,231,231,231,255,0.799103
13,231,231,231,255,0.799103
14,231,231,231,255,0.799103
15,231,231,231,255,0.799103
16,231,231,231,255,0.799103
17,231,231,231,255,0.799103
18,231,231,231,255,0.799103
19,231,231,231,255,0.799103
20,231,231,231,255,0.799103
21,231,231,231,255,0.799103
22,231,231,231,255,0.799103
23,231,231,231,255,0.799103
24,231,231,231,255,0.799103
25,231,231,231,255,0.799103
26,243,243,243,255,0.896269
27,243,243,243,255,0.896269
28,243,243,243,255,0.896269
29,243,243,243,255,0.896269
30,231,231,231,255,0.799103
31,231,231,231,255,0.799103
32,231,231,231,255,0.799103
33,231,231,231,255,0.799103
