sRGBA,r,g,b,a,Y
0,209,209,209,255,0.637597
1,222,222,222,255,0.730461
2,222,222,222,255,0.730461
3,222,222,222,255,0.730461
4,222,222,222,255,0.730461
5,222,222,222,255,0.730461
6,223,223,223,255,0.73791
7,223,223,223,255,0.73791
8,223,223,223,255,0.73791
9,223,223,223,255,0.73791
10,223,223,223,255,0.73791
11,209,209,209,255,0.637597
12,209,209,209,255,0.637597
13,209,209,209,255,0.637597
14,209,209,209,255,0.637597
15,209,209,209,255,0.637597
16,209,209,209,255,0.637597
17,209,209,209,255,0.637597
18,209,209,209,255,0.637597
19,209,209,209,255,0.637597
20,209,209,209,255,0.637597
21,223,223,223,255,0.73791
22,223,223,223,255,0.73791
23,223,223,223,255,0.73791
24,223,223,223,255,0.73791
25,223,223,223,255,0.73791
26,223,223,223,255,0.73791
27,223,223,223,255,0.73791
28,223,223,223,255,0.73791
29,223,223,223,255,0.73791
30,209,209,209,255,0.637597
31,209,209,209,255,0.637597
32,209,209,209,255,0.637597
33,209,209,209,255,0.637597
