sRGBA,r,g,b,a,Y
0,177,177,177,0,n/a
1,177,177,177,0,n/a
2,177,177,177,0,n/a
3,177,177,177,0,n/a
4,177,177,177,0,n/a
5,177,177,177,0,n/a
6,177,177,177,0,n/a
7,177,177,177,0,n/a
8,177,177,177,0,n/a
9,177,177,177,0,n/a
10,177,177,177,0,n/a
11,177,177,177,0,n/a
12,177,177,177,0,n/a
13,177,177,177,0,n/a
14,177,177,177,0,n/a
15,195,195,195,255,0.545724
16,195,195,195,255,0.545724
17,195,195,195,255,0.545724
18,195,195,195,255,0.545724
19,195,195,195,255,0.545724
20,195,195,195,255,0.545724
21,195,195,195,255,0.545724
22,195,195,195,255,0.545724
23,195,195,195,255,0.545724
24,195,195,195,255,0.545724
25,195,195,195,255,0.545724
26,195,195,195,255,0.545724
27,195,195,195,255,0.545724
28,195,195,195,255,0.545724
29,195,195,195,255,0.545724
30,177,177,177,0,n/a
31,177,177,177,0,n/a
32,177,177,177,0,n/a
33,177,177,177,0,n/a
