sRGBA,r,g,b,a,Y
0,136,136,136,255,0.246201
1,179,179,179,255,0.450786
2,179,179,179,255,0.450786
3,179,179,179,255,0.450786
4,179,179,179,255,0.450786
5,179,179,179,255,0.450786
6,159,159,159,255,0.346704
7,159,159,159,255,0.346704
8,159,159,159,255,0.346704
9,159,159,159,255,0.346704
10,159,159,159,255,0.346704
11,136,136,136,255,0.246201
12,136,136,136,255,0.246201
13,136,136,136,255,0.246201
14,136,136,136,255,0.246201
15,136,136,136,255,0.246201
16,136,136,136,255,0.246201
17,136,136,136,255,0.246201
18,136,136,136,255,0.246201
19,136,136,136,255,0.246201
20,136,136,136,255,0.246201
21,158,158,158,255,0.341914
22,158,158,158,255,0.341914
23,158,158,158,255,0.341914
24,158,158,158,255,0.341914
25,177,177,177,255,0.439657
26,177,177,177,255,0.439657
27,177,177,177,255,0.439657
28,177,177,177,255,0.439657
29,177,177,177,255,0.439657
30,136,136,136,255,0.246201
31,136,136,136,255,0.246201
32,136,136,136,255,0.246201
33,136,136,136,255,0.246201
