sRGBA,r,g,b,a,Y
0,177,177,177,255,0.439657
1,211,211,211,255,0.651406
2,211,211,211,255,0.651406
3,211,211,211,255,0.651406
4,211,211,211,255,0.651406
5,211,211,211,255,0.651406
6,195,195,195,255,0.545724
7,195,195,195,255,0.545724
8,195,195,195,255,0.545724
9,195,195,195,255,0.545724
10,195,195,195,255,0.545724
11,177,177,177,255,0.439657
12,177,177,177,255,0.439657
13,177,177,177,255,0.439657
14,177,177,177,255,0.439657
15,177,177,177,255,0.439657
16,177,177,177,255,0.439657
17,177,177,177,255,0.439657
18,177,177,177,255,0.439657
19,177,177,177,255,0.439657
20,177,177,177,255,0.439657
21,195,195,195,255,0.545724
22,195,195,195,255,0.545724
23,195,195,195,255,0.545724
24,195,195,195,255,0.545724
25,211,211,211,255,0.651406
26,211,211,211,255,0.651406
27,211,211,211,255,0.651406
28,211,211,211,255,0.651406
29,211,211,211,255,0.651406
30,177,177,177,255,0.439657
31,177,177,177,255,0.439657
32,177,177,177,255,0.439657
33,177,177,177,255,0.439657
