sRGBA,r,g,b,a,Y
0,108,108,108,0,n/a
1,108,108,108,0,n/a
2,108,108,108,0,n/a
3,108,108,108,0,n/a
4,108,108,108,0,n/a
5,108,108,108,0,n/a
6,108,108,108,0,n/a
7,108,108,108,0,n/a
8,108,108,108,0,n/a
9,108,108,108,0,n/a
10,108,108,108,0,n/a
11,108,108,108,0,n/a
12,108,108,108,0,n/a
13,108,108,108,0,n/a
14,108,108,108,0,n/a
15,138,138,138,255,0.254152
16,138,138,138,255,0.254152
17,138,138,138,255,0.254152
18,138,138,138,255,0.254152
19,138,138,138,255,0.254152
20,138,138,138,255,0.254152
21,138,138,138,255,0.254152
22,138,138,138,255,0.254152
23,138,138,138,255,0.254152
24,138,138,138,255,0.254152
25,138,138,138,255,0.254152
26,138,138,138,255,0.254152
27,138,138,138,255,0.254152
28,138,138,138,255,0.254152
29,138,138,138,255,0.254152
30,108,108,108,0,n/a
31,108,108,108,0,n/a
32,108,108,108,0,n/a
33,108,108,108,0,n/a
