sRGBA,r,g,b,a,Y
0,64,64,64,255,0.051269
1,109,109,109,255,0.152926
2,109,109,109,255,0.152926
3,109,109,109,255,0.152926
4,109,109,109,255,0.152926
5,64,64,64,255,0.051269
6,64,64,64,255,0.051269
7,64,64,64,255,0.051269
8,64,64,64,255,0.051269
9,64,64,64,255,0.051269
10,64,64,64,255,0.051269
11,64,64,64,255,0.051269
12,64,64,64,255,0.051269
13,64,64,64,255,0.051269
14,64,64,64,255,0.051269
15,64,64,64,255,0.051269
16,64,64,64,255,0.051269
17,64,64,64,255,0.051269
18,64,64,64,255,0.051269
19,64,64,64,255,0.051269
20,64,64,64,255,0.051269
21,64,64,64,255,0.051269
22,64,64,64,255,0.051269
23,64,64,64,255,0.051269
24,64,64,64,255,0.051269
25,64,64,64,255,0.051269
26,109,109,109,255,0.152926
27,109,109,109,255,0.152926
28,109,109,109,255,0.152926
29,109,109,109,255,0.152926
30,64,64,64,255,0.051269
31,64,64,64,255,0.051269
32,64,64,64,255,0.051269
33,64,64,64,255,0.051269
