sRGBA,r,g,b,a,Y
0,108,108,108,255,0.14996
1,161,161,161,255,0.3564
2,161,161,161,255,0.3564
3,161,161,161,255,0.3564
4,161,161,161,255,0.3564
5,161,161,161,255,0.3564
6,138,138,138,255,0.254152
7,138,138,138,255,0.254152
8,138,138,138,255,0.254152
9,138,138,138,255,0.254152
10,138,138,138,255,0.254152
11,108,108,108,255,0.14996
12,108,108,108,255,0.14996
13,108,108,108,255,0.14996
14,108,108,108,255,0.14996
15,108,108,108,255,0.14996
16,108,108,108,255,0.14996
17,108,108,108,255,0.14996
18,108,108,108,255,0.14996
19,108,108,108,255,0.14996
20,108,108,108,255,0.14996
21,136,136,136,255,0.246201
22,136,136,136,255,0.246201
23,136,136,136,255,0.246201
24,136,136,136,255,0.246201
25,158,158,158,255,0.341914
26,158,158,158,255,0.341914
27,158,158,158,255,0.341914
28,158,158,158,255,0.341914
29,158,158,158,255,0.341914
30,108,108,108,255,0.14996
31,108,108,108,255,0.14996
32,108,108,108,255,0.14996
33,108,108,108,255,0.14996
