sRGBA,r,g,b,a,Y
0,177,177,177,255,0.439657
1,195,195,195,255,0.545724
2,195,195,195,255,0.545724
3,195,195,195,255,0.545724
4,195,195,195,255,0.545724
5,195,195,195,255,0.545724
6,195,195,195,255,0.545724
7,195,195,195,255,0.545724
8,195,195,195,255,0.545724
9,195,195,195,255,0.545724
10,195,195,195,255,0.545724
11,177,177,177,255,0.439657
12,177,177,177,255,0.439657
13,177,177,177,255,0.439657
14,177,177,177,255,0.439657
15,177,177,177,255,0.439657
16,177,177,177,255,0.439657
17,177,177,177,255,0.439657
18,177,177,177,255,0.439657
19,177,177,177,255,0.439657
20,177,177,177,255,0.439657
21,195,195,195,255,0.545724
22,195,195,195,255,0.545724
23,195,195,195,255,0.545724
24,195,195,195,255,0.545724
25,195,195,195,255,0.545724
26,195,195,195,255,0.545724
27,195,195,195,255,0.545724
28,195,195,195,255,0.545724
29,195,195,195,255,0.545724
30,195,195,195,255,0.545724
31,177,177,177,255,0.439657
32,177,177,177,255,0.439657
33,177,177,177,255,0.439657
