sRGBA,r,g,b,a,Y
0,231,231,231,255,0.799103
1,244,244,244,255,0.904661
2,244,244,244,255,0.904661
3,244,244,244,255,0.904661
4,244,244,244,255,0.904661
5,244,244,244,255,0.904661
6,244,244,244,255,0.904661
7,244,244,244,255,0.904661
8,244,244,244,255,0.904661
9,244,244,244,255,0.904661
10,244,244,244,255,0.904661
11,231,231,231,255,0.799103
12,231,231,231,255,0.799103
13,231,231,231,255,0.799103
14,231,231,231,255,0.799103
15,231,231,231,255,0.799103
16,231,231,231,255,0.799103
17,231,231,231,255,0.799103
18,231,231,231,255,0.799103
19,231,231,231,255,0.799103
20,231,231,231,255,0.799103
21,244,244,244,255,0.904661
22,244,244,244,255,0.904661
23,244,244,244,255,0.904661
24,244,244,244,255,0.904661
25,244,244,244,255,0.904661
26,244,244,244,255,0.904661
27,244,244,244,255,0.904661
28,244,244,244,255,0.904661
29,244,244,244,255,0.904661
30,244,244,244,255,0.904661
31,231,231,231,255,0.799103
32,231,231,231,255,0.799103
33,231,231,231,255,0.799103
