sRGBA,r,g,b,a,Y
0,64,64,64,255,0.051269
1,108,108,108,255,0.14996
2,108,108,108,255,0.14996
3,108,108,108,255,0.14996
4,108,108,108,255,0.14996
5,108,108,108,255,0.14996
6,109,109,109,255,0.152926
7,109,109,109,255,0.152926
8,109,109,109,255,0.152926
9,109,109,109,255,0.152926
10,109,109,109,255,0.152926
11,64,64,64,255,0.051269
12,64,64,64,255,0.051269
13,64,64,64,255,0.051269
14,64,64,64,255,0.051269
15,64,64,64,255,0.051269
16,64,64,64,255,0.051269
17,64,64,64,255,0.051269
18,64,64,64,255,0.051269
19,64,64,64,255,0.051269
20,64,64,64,255,0.051269
21,109,109,109,255,0.152926
22,109,109,109,255,0.152926
23,109,109,109,255,0.152926
24,109,109,109,255,0.152926
25,109,109,109,255,0.152926
26,109,109,109,255,0.152926
27,109,109,109,255,0.152926
28,109,109,109,255,0.152926
29,109,109,109,255,0.152926
30,64,64,64,255,0.051269
31,64,64,64,255,0.051269
32,64,64,64,255,0.051269
33,64,64,64,255,0.051269
