sRGBA,r,g,b,a,Y
0,108,108,108,255,0.14996
1,138,138,138,255,0.254152
2,138,138,138,255,0.254152
3,138,138,138,255,0.254152
4,138,138,138,255,0.254152
5,138,138,138,255,0.254152
6,138,138,138,255,0.254152
7,138,138,138,255,0.254152
8,138,138,138,255,0.254152
9,138,138,138,255,0.254152
10,138,138,138,255,0.254152
11,108,108,108,255,0.14996
12,108,108,108,255,0.14996
13,108,108,108,255,0.14996
14,108,108,108,255,0.14996
15,108,108,108,255,0.14996
16,108,108,108,255,0.14996
17,108,108,108,255,0.14996
18,108,108,108,255,0.14996
19,108,108,108,255,0.14996
20,108,108,108,255,0.14996
21,138,138,138,255,0.254152
22,138,138,138,255,0.254152
23,138,138,138,255,0.254152
24,138,138,138,255,0.254152
25,138,138,138,255,0.254152
26,138,138,138,255,0.254152
27,138,138,138,255,0.254152
28,138,138,138,255,0.254152
29,138,138,138,255,0.254152
30,138,138,138,255,0.254152
31,108,108,108,255,0.14996
32,108,108,108,255,0.14996
33,108,108,108,255,0.14996
