sRGBA,r,g,b,a,Y
0,158,158,158,255,0.341914
1,178,178,178,255,0.445201
2,178,178,178,255,0.445201
3,178,178,178,255,0.445201
4,178,178,178,255,0.445201
5,158,158,158,255,0.341914
6,158,158,158,255,0.341914
7,158,158,158,255,0.341914
8,158,158,158,255,0.341914
9,158,158,158,255,0.341914
10,158,158,158,255,0.341914
11,158,158,158,255,0.341914
12,158,158,158,255,0.341914
13,158,158,158,255,0.341914
14,158,158,158,255,0.341914
15,158,158,158,255,0.341914
16,158,158,158,255,0.341914
17,158,158,158,255,0.341914
18,158,158,158,255,0.341914
19,158,158,158,255,0.341914
20,158,158,158,255,0.341914
21,158,158,158,255,0.341914
22,158,158,158,255,0.341914
23,158,158,158,255,0.341914
24,158,158,158,255,0.341914
25,158,158,158,255,0.341914
26,177,177,177,255,0.439657
27,177,177,177,255,0.439657
28,177,177,177,255,0.439657
29,177,177,177,255,0.439657
30,158,158,158,255,0.341914
31,158,158,158,255,0.341914
32,158,158,158,255,0.341914
33,158,158,158,255,0.341914
